token: -- | freq: 899 | docs: 81 | posting_pos: 0
token: 1-1 | freq: 6 | docs: 3 | posting_pos: 1212
token: 1-2 | freq: 6 | docs: 5 | posting_pos: 1215
token: 1-3 | freq: 3 | docs: 3 | posting_pos: 1220
token: 1-5 | freq: 3 | docs: 3 | posting_pos: 1223
token: 1-800-termpaper | freq: 104 | docs: 104 | posting_pos: 1226
token: 10 | freq: 2019 | docs: 219 | posting_pos: 1330
token: 10-100 | freq: 3 | docs: 3 | posting_pos: 1549
token: 10-15 | freq: 6 | docs: 6 | posting_pos: 1552
token: 10-en | freq: 3 | docs: 3 | posting_pos: 1558
token: 100 | freq: 643 | docs: 123 | posting_pos: 1561
token: 1000 | freq: 24 | docs: 15 | posting_pos: 1684
token: 10000 | freq: 15 | docs: 2 | posting_pos: 1699
token: 10005 | freq: 11 | docs: 3 | posting_pos: 1701
token: 100263 | freq: 5 | docs: 4 | posting_pos: 1704
token: 100382 | freq: 3 | docs: 2 | posting_pos: 1708
token: 100535 | freq: 3 | docs: 3 | posting_pos: 1710
token: 10072 | freq: 3 | docs: 2 | posting_pos: 1713
token: 101 | freq: 75 | docs: 20 | posting_pos: 1715
token: 10136 | freq: 14 | docs: 4 | posting_pos: 1735
token: 1014 | freq: 3 | docs: 2 | posting_pos: 1739
token: 10143 | freq: 5 | docs: 1 | posting_pos: 1741
token: 10156 | freq: 3 | docs: 1 | posting_pos: 1742
token: 10161 | freq: 8 | docs: 4 | posting_pos: 1743
token: 101786 | freq: 3 | docs: 2 | posting_pos: 1747
token: 10186 | freq: 12 | docs: 4 | posting_pos: 1749
token: 101875 | freq: 6 | docs: 1 | posting_pos: 1753
token: 102 | freq: 68 | docs: 19 | posting_pos: 1754
token: 102562 | freq: 5 | docs: 1 | posting_pos: 1773
token: 103 | freq: 81 | docs: 19 | posting_pos: 1774
token: 10308 | freq: 10 | docs: 3 | posting_pos: 1793
token: 103125 | freq: 4 | docs: 1 | posting_pos: 1796
token: 103466 | freq: 3 | docs: 2 | posting_pos: 1797
token: 10380 | freq: 3 | docs: 1 | posting_pos: 1799
token: 1039 | freq: 4 | docs: 2 | posting_pos: 1800
token: 104 | freq: 52 | docs: 9 | posting_pos: 1802
token: 10414 | freq: 4 | docs: 2 | posting_pos: 1811
token: 10421 | freq: 4 | docs: 2 | posting_pos: 1813
token: 1044 | freq: 3 | docs: 3 | posting_pos: 1815
token: 10454 | freq: 3 | docs: 3 | posting_pos: 1818
token: 104682 | freq: 8 | docs: 2 | posting_pos: 1821
token: 104th | freq: 4 | docs: 2 | posting_pos: 1823
token: 105 | freq: 76 | docs: 16 | posting_pos: 1825
token: 10505 | freq: 7 | docs: 4 | posting_pos: 1841
token: 1052 | freq: 3 | docs: 3 | posting_pos: 1845
token: 1053 | freq: 5 | docs: 3 | posting_pos: 1848
token: 1055 | freq: 17 | docs: 4 | posting_pos: 1851
token: 10583 | freq: 7 | docs: 2 | posting_pos: 1855
token: 106 | freq: 52 | docs: 10 | posting_pos: 1857
token: 10608 | freq: 5 | docs: 2 | posting_pos: 1867
token: 10616 | freq: 3 | docs: 2 | posting_pos: 1869
token: 10642 | freq: 7 | docs: 2 | posting_pos: 1871
token: 10645 | freq: 7 | docs: 1 | posting_pos: 1873
token: 10682 | freq: 77 | docs: 5 | posting_pos: 1874
token: 107 | freq: 286 | docs: 86 | posting_pos: 1879
token: 1070 | freq: 4 | docs: 3 | posting_pos: 1965
token: 10704 | freq: 6 | docs: 3 | posting_pos: 1968
token: 1078 | freq: 59 | docs: 2 | posting_pos: 1971
token: 107c | freq: 3 | docs: 3 | posting_pos: 1973
token: 108 | freq: 50 | docs: 9 | posting_pos: 1976
token: 10813 | freq: 35 | docs: 4 | posting_pos: 1985
token: 10825 | freq: 5 | docs: 2 | posting_pos: 1989
token: 10826 | freq: 4 | docs: 3 | posting_pos: 1991
token: 10863 | freq: 3 | docs: 3 | posting_pos: 1994
token: 108876 | freq: 3 | docs: 3 | posting_pos: 1997
token: 109 | freq: 73 | docs: 14 | posting_pos: 2000
token: 10905 | freq: 13 | docs: 1 | posting_pos: 2014
token: 10917 | freq: 3 | docs: 3 | posting_pos: 2015
token: 109305 | freq: 3 | docs: 3 | posting_pos: 2018
token: 10946 | freq: 6 | docs: 4 | posting_pos: 2021
token: 10950 | freq: 30 | docs: 5 | posting_pos: 2025
token: 10977 | freq: 5 | docs: 2 | posting_pos: 2030
token: 109909 | freq: 3 | docs: 2 | posting_pos: 2032
token: 10fn | freq: 260 | docs: 80 | posting_pos: 2034
token: 10nemzet | freq: 3 | docs: 3 | posting_pos: 2114
token: 10pgs | freq: 647 | docs: 97 | posting_pos: 2117
token: 10pt | freq: 10 | docs: 5 | posting_pos: 2214
token: 10s | freq: 257 | docs: 80 | posting_pos: 2219
token: 11 | freq: 1718 | docs: 118 | posting_pos: 2299
token: 110 | freq: 88 | docs: 23 | posting_pos: 2417
token: 1100 | freq: 17 | docs: 11 | posting_pos: 2440
token: 11007 | freq: 5 | docs: 3 | posting_pos: 2451
token: 11024 | freq: 3 | docs: 2 | posting_pos: 2454
token: 111 | freq: 107 | docs: 60 | posting_pos: 2456
token: 11126 | freq: 4 | docs: 2 | posting_pos: 2516
token: 11138 | freq: 3 | docs: 2 | posting_pos: 2518
token: 1115 | freq: 9 | docs: 3 | posting_pos: 2520
token: 11175 | freq: 4 | docs: 3 | posting_pos: 2523
token: 11178 | freq: 4 | docs: 3 | posting_pos: 2526
token: 11186 | freq: 3 | docs: 2 | posting_pos: 2529
token: 111898 | freq: 5 | docs: 1 | posting_pos: 2531
token: 11193 | freq: 3 | docs: 3 | posting_pos: 2532
token: 11198 | freq: 10 | docs: 2 | posting_pos: 2535
token: 112 | freq: 60 | docs: 13 | posting_pos: 2537
token: 11218 | freq: 12 | docs: 4 | posting_pos: 2550
token: 11246 | freq: 3 | docs: 1 | posting_pos: 2554
token: 11260 | freq: 9 | docs: 2 | posting_pos: 2555
token: 113 | freq: 58 | docs: 15 | posting_pos: 2557
token: 11346 | freq: 3 | docs: 3 | posting_pos: 2572
token: 11393 | freq: 4 | docs: 2 | posting_pos: 2575
token: 114 | freq: 57 | docs: 12 | posting_pos: 2577
token: 11438 | freq: 3 | docs: 2 | posting_pos: 2589
token: 11484 | freq: 3 | docs: 1 | posting_pos: 2591
token: 11486 | freq: 6 | docs: 5 | posting_pos: 2592
token: 11492 | freq: 5 | docs: 1 | posting_pos: 2597
token: 115 | freq: 71 | docs: 19 | posting_pos: 2598
token: 115527 | freq: 4 | docs: 3 | posting_pos: 2617
token: 116 | freq: 243 | docs: 90 | posting_pos: 2620
token: 11633 | freq: 3 | docs: 2 | posting_pos: 2710
token: 117 | freq: 53 | docs: 14 | posting_pos: 2712
token: 1170 | freq: 24 | docs: 3 | posting_pos: 2726
token: 11744 | freq: 5 | docs: 3 | posting_pos: 2729
token: 11754 | freq: 6 | docs: 3 | posting_pos: 2732
token: 1178 | freq: 114 | docs: 5 | posting_pos: 2735
token: 117865 | freq: 3 | docs: 3 | posting_pos: 2740
token: 11799 | freq: 4 | docs: 2 | posting_pos: 2743
token: 118 | freq: 54 | docs: 11 | posting_pos: 2745
token: 1184 | freq: 6 | docs: 4 | posting_pos: 2756
token: 11844 | freq: 5 | docs: 3 | posting_pos: 2760
token: 1186 | freq: 3 | docs: 3 | posting_pos: 2763
token: 11889 | freq: 3 | docs: 1 | posting_pos: 2766
token: 119 | freq: 42 | docs: 11 | posting_pos: 2767
token: 11954 | freq: 4 | docs: 2 | posting_pos: 2778
token: 11981 | freq: 6 | docs: 3 | posting_pos: 2780
token: 11fn | freq: 200 | docs: 75 | posting_pos: 2783
token: 11nemzet | freq: 4 | docs: 4 | posting_pos: 2858
token: 11pgs | freq: 301 | docs: 75 | posting_pos: 2862
token: 11pt | freq: 20 | docs: 5 | posting_pos: 2937
token: 11s | freq: 177 | docs: 76 | posting_pos: 2942
token: 11th | freq: 5 | docs: 3 | posting_pos: 3018
token: 12 | freq: 1547 | docs: 223 | posting_pos: 3021
token: 12-13 | freq: 4 | docs: 1 | posting_pos: 3244
token: 12-en | freq: 3 | docs: 3 | posting_pos: 3245
token: 12-i | freq: 4 | docs: 3 | posting_pos: 3248
token: 12-year | freq: 3 | docs: 3 | posting_pos: 3251
token: 120 | freq: 68 | docs: 25 | posting_pos: 3254
token: 1200 | freq: 3 | docs: 3 | posting_pos: 3279
token: 12003 | freq: 3 | docs: 1 | posting_pos: 3282
token: 12007 | freq: 8 | docs: 5 | posting_pos: 3283
token: 1201 | freq: 3 | docs: 3 | posting_pos: 3288
token: 1201-es | freq: 4 | docs: 3 | posting_pos: 3291
token: 12029 | freq: 3 | docs: 2 | posting_pos: 3294
token: 12059 | freq: 3 | docs: 2 | posting_pos: 3296
token: 1209 | freq: 6 | docs: 2 | posting_pos: 3298
token: 12091 | freq: 20 | docs: 5 | posting_pos: 3300
token: 121 | freq: 31 | docs: 11 | posting_pos: 3305
token: 12107 | freq: 9 | docs: 4 | posting_pos: 3316
token: 12126 | freq: 3 | docs: 2 | posting_pos: 3320
token: 121517 | freq: 3 | docs: 3 | posting_pos: 3322
token: 12163 | freq: 4 | docs: 1 | posting_pos: 3325
token: 12191 | freq: 6 | docs: 2 | posting_pos: 3326
token: 122 | freq: 54 | docs: 13 | posting_pos: 3328
token: 12205 | freq: 3 | docs: 2 | posting_pos: 3341
token: 12213 | freq: 3 | docs: 1 | posting_pos: 3343
token: 1225 | freq: 3 | docs: 2 | posting_pos: 3344
token: 122697 | freq: 7 | docs: 2 | posting_pos: 3346
token: 12275 | freq: 3 | docs: 2 | posting_pos: 3348
token: 122775 | freq: 3 | docs: 3 | posting_pos: 3350
token: 12291 | freq: 3 | docs: 1 | posting_pos: 3353
token: 123 | freq: 48 | docs: 14 | posting_pos: 3354
token: 123272 | freq: 7 | docs: 1 | posting_pos: 3368
token: 124 | freq: 37 | docs: 10 | posting_pos: 3369
token: 12407 | freq: 11 | docs: 3 | posting_pos: 3379
token: 1241 | freq: 6 | docs: 3 | posting_pos: 3382
token: 124558 | freq: 11 | docs: 4 | posting_pos: 3385
token: 12467 | freq: 3 | docs: 1 | posting_pos: 3389
token: 125 | freq: 171 | docs: 77 | posting_pos: 3390
token: 1250 | freq: 4 | docs: 3 | posting_pos: 3467
token: 12554 | freq: 12 | docs: 2 | posting_pos: 3470
token: 1258 | freq: 23 | docs: 5 | posting_pos: 3472
token: 126 | freq: 40 | docs: 11 | posting_pos: 3477
token: 12631 | freq: 7 | docs: 2 | posting_pos: 3488
token: 12658 | freq: 3 | docs: 1 | posting_pos: 3490
token: 1268 | freq: 3 | docs: 2 | posting_pos: 3491
token: 127 | freq: 55 | docs: 12 | posting_pos: 3493
token: 1273 | freq: 3 | docs: 2 | posting_pos: 3505
token: 127544 | freq: 8 | docs: 4 | posting_pos: 3507
token: 12781 | freq: 5 | docs: 2 | posting_pos: 3511
token: 128 | freq: 83 | docs: 14 | posting_pos: 3513
token: 12854 | freq: 3 | docs: 2 | posting_pos: 3527
token: 12855 | freq: 5 | docs: 2 | posting_pos: 3529
token: 129 | freq: 57 | docs: 13 | posting_pos: 3531
token: 12917 | freq: 4 | docs: 1 | posting_pos: 3544
token: 12941 | freq: 14 | docs: 3 | posting_pos: 3545
token: 12981 | freq: 3 | docs: 3 | posting_pos: 3548
token: 12fn | freq: 221 | docs: 78 | posting_pos: 3551
token: 12k | freq: 4 | docs: 2 | posting_pos: 3629
token: 12pgs | freq: 234 | docs: 75 | posting_pos: 3631
token: 12pt | freq: 30 | docs: 5 | posting_pos: 3706
token: 12s | freq: 155 | docs: 69 | posting_pos: 3711
token: 13 | freq: 1540 | docs: 98 | posting_pos: 3780
token: 130 | freq: 60 | docs: 17 | posting_pos: 3878
token: 13027 | freq: 20 | docs: 2 | posting_pos: 3895
token: 13099 | freq: 7 | docs: 3 | posting_pos: 3897
token: 131 | freq: 40 | docs: 9 | posting_pos: 3900
token: 1317 | freq: 5 | docs: 3 | posting_pos: 3909
token: 132 | freq: 49 | docs: 13 | posting_pos: 3912
token: 13218 | freq: 3 | docs: 1 | posting_pos: 3925
token: 13221 | freq: 13 | docs: 1 | posting_pos: 3926
token: 13222 | freq: 3 | docs: 2 | posting_pos: 3927
token: 132255 | freq: 3 | docs: 2 | posting_pos: 3929
token: 13226 | freq: 4 | docs: 2 | posting_pos: 3931
token: 13247 | freq: 8 | docs: 4 | posting_pos: 3933
token: 13291 | freq: 3 | docs: 1 | posting_pos: 3937
token: 133 | freq: 43 | docs: 12 | posting_pos: 3938
token: 134 | freq: 258 | docs: 83 | posting_pos: 3950
token: 13476 | freq: 7 | docs: 3 | posting_pos: 4033
token: 13490 | freq: 15 | docs: 4 | posting_pos: 4036
token: 135 | freq: 43 | docs: 13 | posting_pos: 4040
token: 13543 | freq: 5 | docs: 2 | posting_pos: 4053
token: 13578 | freq: 3 | docs: 2 | posting_pos: 4055
token: 136 | freq: 49 | docs: 10 | posting_pos: 4057
token: 136054 | freq: 4 | docs: 2 | posting_pos: 4067
token: 13686 | freq: 3 | docs: 2 | posting_pos: 4069
token: 13694 | freq: 4 | docs: 2 | posting_pos: 4071
token: 137 | freq: 46 | docs: 10 | posting_pos: 4073
token: 13713 | freq: 8 | docs: 2 | posting_pos: 4083
token: 13723 | freq: 6 | docs: 3 | posting_pos: 4085
token: 13745 | freq: 11 | docs: 5 | posting_pos: 4088
token: 1379 | freq: 5 | docs: 1 | posting_pos: 4093
token: 138 | freq: 33 | docs: 10 | posting_pos: 4094
token: 13890 | freq: 5 | docs: 2 | posting_pos: 4104
token: 139 | freq: 46 | docs: 8 | posting_pos: 4106
token: 13955 | freq: 5 | docs: 3 | posting_pos: 4114
token: 139668 | freq: 9 | docs: 3 | posting_pos: 4117
token: 139817 | freq: 14 | docs: 3 | posting_pos: 4120
token: 13fn | freq: 168 | docs: 64 | posting_pos: 4123
token: 13pgs | freq: 154 | docs: 67 | posting_pos: 4187
token: 13pt | freq: 5 | docs: 5 | posting_pos: 4254
token: 13s | freq: 91 | docs: 46 | posting_pos: 4259
token: 13th | freq: 6 | docs: 4 | posting_pos: 4305
token: 14 | freq: 1486 | docs: 101 | posting_pos: 4309
token: 14-ei | freq: 3 | docs: 3 | posting_pos: 4410
token: 14-en | freq: 8 | docs: 7 | posting_pos: 4413
token: 14-i | freq: 3 | docs: 3 | posting_pos: 4420
token: 140 | freq: 55 | docs: 14 | posting_pos: 4423
token: 1400 | freq: 6 | docs: 4 | posting_pos: 4437
token: 14002 | freq: 6 | docs: 3 | posting_pos: 4441
token: 14031 | freq: 40 | docs: 3 | posting_pos: 4444
token: 14037 | freq: 3 | docs: 1 | posting_pos: 4447
token: 1404 | freq: 11 | docs: 2 | posting_pos: 4448
token: 140404 | freq: 3 | docs: 2 | posting_pos: 4450
token: 14057 | freq: 4 | docs: 4 | posting_pos: 4452
token: 1407 | freq: 6 | docs: 2 | posting_pos: 4456
token: 141 | freq: 37 | docs: 12 | posting_pos: 4458
token: 141403 | freq: 4 | docs: 2 | posting_pos: 4470
token: 14160 | freq: 4 | docs: 1 | posting_pos: 4472
token: 14165 | freq: 3 | docs: 2 | posting_pos: 4473
token: 1419 | freq: 3 | docs: 3 | posting_pos: 4475
token: 14194 | freq: 5 | docs: 2 | posting_pos: 4478
token: 142 | freq: 32 | docs: 7 | posting_pos: 4480
token: 1422 | freq: 5 | docs: 2 | posting_pos: 4487
token: 1423 | freq: 4 | docs: 1 | posting_pos: 4489
token: 14254 | freq: 7 | docs: 2 | posting_pos: 4490
token: 143 | freq: 157 | docs: 68 | posting_pos: 4492
token: 1433 | freq: 4 | docs: 4 | posting_pos: 4560
token: 1435 | freq: 4 | docs: 1 | posting_pos: 4564
token: 144 | freq: 26 | docs: 9 | posting_pos: 4565
token: 1440 | freq: 3 | docs: 3 | posting_pos: 4574
token: 14425 | freq: 5 | docs: 2 | posting_pos: 4577
token: 1444 | freq: 161 | docs: 5 | posting_pos: 4579
token: 14478 | freq: 6 | docs: 2 | posting_pos: 4584
token: 14492 | freq: 5 | docs: 1 | posting_pos: 4586
token: 144973 | freq: 3 | docs: 2 | posting_pos: 4587
token: 145 | freq: 73 | docs: 23 | posting_pos: 4589
token: 1458 | freq: 12 | docs: 3 | posting_pos: 4612
token: 145a | freq: 3 | docs: 1 | posting_pos: 4615
token: 146 | freq: 200 | docs: 25 | posting_pos: 4616
token: 14630 | freq: 5 | docs: 1 | posting_pos: 4641
token: 14636 | freq: 3 | docs: 1 | posting_pos: 4642
token: 14669 | freq: 6 | docs: 2 | posting_pos: 4643
token: 14685 | freq: 5 | docs: 2 | posting_pos: 4645
token: 147 | freq: 126 | docs: 23 | posting_pos: 4647
token: 147562 | freq: 3 | docs: 2 | posting_pos: 4670
token: 14791 | freq: 9 | docs: 2 | posting_pos: 4672
token: 148 | freq: 122 | docs: 31 | posting_pos: 4674
token: 14811 | freq: 4 | docs: 2 | posting_pos: 4705
token: 14840 | freq: 3 | docs: 2 | posting_pos: 4707
token: 1485 | freq: 4 | docs: 2 | posting_pos: 4709
token: 14868 | freq: 4 | docs: 4 | posting_pos: 4711
token: 1488 | freq: 3 | docs: 2 | posting_pos: 4715
token: 14897 | freq: 3 | docs: 3 | posting_pos: 4717
token: 149 | freq: 38 | docs: 10 | posting_pos: 4720
token: 1490 | freq: 7 | docs: 2 | posting_pos: 4730
token: 14901 | freq: 3 | docs: 2 | posting_pos: 4732
token: 14960 | freq: 3 | docs: 3 | posting_pos: 4734
token: 14966 | freq: 3 | docs: 2 | posting_pos: 4737
token: 14aaaeealktqti1bvtfs63 | freq: 20 | docs: 20 | posting_pos: 4739
token: 14fn | freq: 170 | docs: 66 | posting_pos: 4759
token: 14k | freq: 7 | docs: 4 | posting_pos: 4825
token: 14pgs | freq: 115 | docs: 56 | posting_pos: 4829
token: 14pt | freq: 10 | docs: 5 | posting_pos: 4885
token: 14s | freq: 79 | docs: 49 | posting_pos: 4890
token: 15 | freq: 1506 | docs: 160 | posting_pos: 4939
token: 15-0500 | freq: 10 | docs: 5 | posting_pos: 5099
token: 15-20 | freq: 7 | docs: 6 | posting_pos: 5104
token: 15-e | freq: 3 | docs: 3 | posting_pos: 5110
token: 15-en | freq: 10 | docs: 9 | posting_pos: 5113
token: 150 | freq: 142 | docs: 35 | posting_pos: 5122
token: 1500 | freq: 6 | docs: 6 | posting_pos: 5157
token: 15054 | freq: 3 | docs: 2 | posting_pos: 5163
token: 15086 | freq: 3 | docs: 3 | posting_pos: 5165
token: 151 | freq: 171 | docs: 22 | posting_pos: 5168
token: 152 | freq: 108 | docs: 53 | posting_pos: 5190
token: 1520 | freq: 5 | docs: 2 | posting_pos: 5243
token: 15219 | freq: 3 | docs: 2 | posting_pos: 5245
token: 15243 | freq: 7 | docs: 3 | posting_pos: 5247
token: 15276 | freq: 11 | docs: 5 | posting_pos: 5250
token: 15297 | freq: 8 | docs: 3 | posting_pos: 5255
token: 153 | freq: 31 | docs: 12 | posting_pos: 5258
token: 15305 | freq: 74 | docs: 5 | posting_pos: 5270
token: 1534 | freq: 5 | docs: 4 | posting_pos: 5275
token: 15344 | freq: 9 | docs: 2 | posting_pos: 5279
token: 15348 | freq: 3 | docs: 2 | posting_pos: 5281
token: 154 | freq: 37 | docs: 9 | posting_pos: 5283
token: 15422 | freq: 3 | docs: 2 | posting_pos: 5292
token: 15446 | freq: 3 | docs: 2 | posting_pos: 5294
token: 15490 | freq: 3 | docs: 1 | posting_pos: 5296
token: 155 | freq: 27 | docs: 12 | posting_pos: 5297
token: 15569 | freq: 59 | docs: 4 | posting_pos: 5309
token: 15572 | freq: 29 | docs: 4 | posting_pos: 5313
token: 156 | freq: 32 | docs: 9 | posting_pos: 5317
token: 15663 | freq: 11 | docs: 3 | posting_pos: 5326
token: 1567 | freq: 5 | docs: 2 | posting_pos: 5329
token: 1568 | freq: 3 | docs: 3 | posting_pos: 5331
token: 15690 | freq: 13 | docs: 3 | posting_pos: 5334
token: 157 | freq: 27 | docs: 11 | posting_pos: 5337
token: 15714 | freq: 3 | docs: 1 | posting_pos: 5348
token: 157444 | freq: 10 | docs: 1 | posting_pos: 5349
token: 15747 | freq: 4 | docs: 2 | posting_pos: 5350
token: 15781 | freq: 3 | docs: 1 | posting_pos: 5352
token: 15791 | freq: 3 | docs: 1 | posting_pos: 5353
token: 158 | freq: 39 | docs: 9 | posting_pos: 5354
token: 15801 | freq: 3 | docs: 2 | posting_pos: 5363
token: 1583 | freq: 11 | docs: 3 | posting_pos: 5365
token: 15872 | freq: 23 | docs: 5 | posting_pos: 5368
token: 15896 | freq: 8 | docs: 3 | posting_pos: 5373
token: 159 | freq: 27 | docs: 7 | posting_pos: 5376
token: 15920 | freq: 4 | docs: 2 | posting_pos: 5383
token: 15987 | freq: 3 | docs: 3 | posting_pos: 5385
token: 15fn | freq: 142 | docs: 60 | posting_pos: 5388
token: 15k | freq: 7 | docs: 3 | posting_pos: 5448
token: 15pgs | freq: 217 | docs: 71 | posting_pos: 5451
token: 15s | freq: 57 | docs: 42 | posting_pos: 5522
token: 15th | freq: 8 | docs: 7 | posting_pos: 5564
token: 15w-40 | freq: 6 | docs: 3 | posting_pos: 5571
token: 16 | freq: 1213 | docs: 108 | posting_pos: 5574
token: 16-17 | freq: 4 | docs: 3 | posting_pos: 5682
token: 16-an | freq: 6 | docs: 4 | posting_pos: 5685
token: 160 | freq: 145 | docs: 56 | posting_pos: 5689
token: 1600 | freq: 6 | docs: 5 | posting_pos: 5745
