token: - | freq: 2360 | docs: 199 | posting_pos: 0
token: -ben | freq: 4 | docs: 4 | posting_pos: 534
token: -betegsegunkkel | freq: 1 | docs: 1 | posting_pos: 538
token: -bevallott- | freq: 1 | docs: 1 | posting_pos: 539
token: -bevallottan | freq: 1 | docs: 1 | posting_pos: 540
token: -bol | freq: 3 | docs: 2 | posting_pos: 541
token: -bovulne | freq: 1 | docs: 1 | posting_pos: 543
token: -breeding | freq: 1 | docs: 1 | posting_pos: 544
token: -bunozesicelpont | freq: 1 | docs: 1 | posting_pos: 545
token: -buntethetok | freq: 1 | docs: 1 | posting_pos: 546
token: -busas | freq: 1 | docs: 1 | posting_pos: 547
token: -but | freq: 1 | docs: 1 | posting_pos: 548
token: -by | freq: 1 | docs: 1 | posting_pos: 549
token: -c | freq: 2 | docs: 1 | posting_pos: 550
token: -can | freq: 1 | docs: 1 | posting_pos: 551
token: -canadians | freq: 1 | docs: 1 | posting_pos: 552
token: -catastrophic | freq: 1 | docs: 1 | posting_pos: 553
token: -china | freq: 1 | docs: 1 | posting_pos: 554
token: -costs | freq: 1 | docs: 1 | posting_pos: 555
token: -creativity | freq: 1 | docs: 1 | posting_pos: 556
token: -csak | freq: 3 | docs: 3 | posting_pos: 557
token: -csakugy | freq: 1 | docs: 1 | posting_pos: 560
token: -csokkentes | freq: 1 | docs: 1 | posting_pos: 561
token: -de | freq: 1 | docs: 1 | posting_pos: 562
token: -dec | freq: 1 | docs: 1 | posting_pos: 563
token: -declared | freq: 1 | docs: 1 | posting_pos: 564
token: -dontsd | freq: 1 | docs: 1 | posting_pos: 565
token: -dr | freq: 1 | docs: 1 | posting_pos: 566
token: -drama | freq: 1 | docs: 1 | posting_pos: 567
token: -durch | freq: 1 | docs: 1 | posting_pos: 568
token: -e | freq: 2 | docs: 2 | posting_pos: 569
token: -ebbol | freq: 1 | docs: 1 | posting_pos: 571
token: -ed | freq: 1 | docs: 1 | posting_pos: 572
token: -egyebkent | freq: 1 | docs: 1 | posting_pos: 573
token: -egyes | freq: 1 | docs: 1 | posting_pos: 574
token: -elmeleti | freq: 1 | docs: 1 | posting_pos: 575
token: -eloszor | freq: 1 | docs: 1 | posting_pos: 576
token: -emiatt | freq: 1 | docs: 1 | posting_pos: 577
token: -emlekezteto | freq: 1 | docs: 1 | posting_pos: 578
token: -en | freq: 3 | docs: 2 | posting_pos: 579
token: -eppen | freq: 2 | docs: 2 | posting_pos: 581
token: -erdekes | freq: 1 | docs: 1 | posting_pos: 583
token: -eredetileg | freq: 1 | docs: 1 | posting_pos: 584
token: -erositette | freq: 1 | docs: 1 | posting_pos: 585
token: -erre | freq: 1 | docs: 1 | posting_pos: 586
token: -eszerint | freq: 1 | docs: 1 | posting_pos: 587
token: -et | freq: 2 | docs: 2 | posting_pos: 588
token: -eveket- | freq: 1 | docs: 1 | posting_pos: 590
token: -even | freq: 1 | docs: 1 | posting_pos: 591
token: -ez | freq: 6 | docs: 2 | posting_pos: 592
token: -ezen | freq: 1 | docs: 1 | posting_pos: 594
token: -ezt | freq: 3 | docs: 2 | posting_pos: 595
token: -fabian | freq: 1 | docs: 1 | posting_pos: 597
token: -faire | freq: 1 | docs: 1 | posting_pos: 598
token: -fegyvertelen- | freq: 1 | docs: 1 | posting_pos: 599
token: -felfuggesztheto | freq: 1 | docs: 1 | posting_pos: 600
token: -feltunuen | freq: 1 | docs: 1 | posting_pos: 601
token: -fertozes | freq: 1 | docs: 1 | posting_pos: 602
token: -figyelembe | freq: 1 | docs: 1 | posting_pos: 603
token: -for | freq: 1 | docs: 1 | posting_pos: 604
token: -forintban | freq: 1 | docs: 1 | posting_pos: 605
token: -franciao | freq: 2 | docs: 1 | posting_pos: 606
token: -frederick | freq: 1 | docs: 1 | posting_pos: 607
token: -g | freq: 1 | docs: 1 | posting_pos: 608
token: -gal | freq: 3 | docs: 2 | posting_pos: 609
token: -gazdasagi | freq: 1 | docs: 1 | posting_pos: 611
token: -gen | freq: 2 | docs: 2 | posting_pos: 612
token: -gondoltam | freq: 1 | docs: 1 | posting_pos: 614
token: -government | freq: 1 | docs: 1 | posting_pos: 615
token: -grass | freq: 1 | docs: 1 | posting_pos: 616
token: -gratulalunk | freq: 1 | docs: 1 | posting_pos: 617
token: -gyoztesnek | freq: 1 | docs: 1 | posting_pos: 618
token: -h | freq: 2 | docs: 2 | posting_pos: 619
token: -ha | freq: 4 | docs: 2 | posting_pos: 621
token: -hadd | freq: 1 | docs: 1 | posting_pos: 623
token: -hamar | freq: 1 | docs: 1 | posting_pos: 624
token: -hand | freq: 1 | docs: 1 | posting_pos: 625
token: -hangsulyozta | freq: 1 | docs: 1 | posting_pos: 626
token: -hangzott | freq: 1 | docs: 1 | posting_pos: 627
token: -hann | freq: 1 | docs: 1 | posting_pos: 628
token: -has | freq: 1 | docs: 1 | posting_pos: 629
token: -hat | freq: 1 | docs: 1 | posting_pos: 630
token: -hatalmuk | freq: 1 | docs: 1 | posting_pos: 631
token: -helyre | freq: 1 | docs: 1 | posting_pos: 632
token: -hez | freq: 1 | docs: 1 | posting_pos: 633
token: -hogy | freq: 1 | docs: 1 | posting_pos: 634
token: -hogyan | freq: 2 | docs: 1 | posting_pos: 635
token: -home | freq: 1 | docs: 1 | posting_pos: 636
token: -horn | freq: 1 | docs: 1 | posting_pos: 637
token: -how | freq: 3 | docs: 3 | posting_pos: 638
token: -hoz | freq: 2 | docs: 2 | posting_pos: 641
token: -hozhat-e | freq: 1 | docs: 1 | posting_pos: 643
token: -hozott | freq: 1 | docs: 1 | posting_pos: 644
token: -i | freq: 5 | docs: 5 | posting_pos: 645
token: -igen | freq: 5 | docs: 1 | posting_pos: 650
token: -igy | freq: 1 | docs: 1 | posting_pos: 651
token: -ikozgazdasagtud | freq: 1 | docs: 1 | posting_pos: 652
token: -ilyen | freq: 1 | docs: 1 | posting_pos: 653
token: -im | freq: 9 | docs: 1 | posting_pos: 654
token: -ingatlan | freq: 1 | docs: 1 | posting_pos: 655
token: -initiated | freq: 1 | docs: 1 | posting_pos: 656
token: -inkabb | freq: 1 | docs: 1 | posting_pos: 657
token: -inside | freq: 1 | docs: 1 | posting_pos: 658
token: -isbn | freq: 1 | docs: 1 | posting_pos: 659
token: -ismet- | freq: 1 | docs: 1 | posting_pos: 660
token: -itt | freq: 1 | docs: 1 | posting_pos: 661
token: -j | freq: 2 | docs: 1 | posting_pos: 662
token: -ja | freq: 2 | docs: 2 | posting_pos: 663
token: -jahoz | freq: 1 | docs: 1 | posting_pos: 665
token: -jan | freq: 1 | docs: 1 | posting_pos: 666
token: -jat | freq: 1 | docs: 1 | posting_pos: 667
token: -jatsszunk | freq: 1 | docs: 1 | posting_pos: 668
token: -jelent | freq: 1 | docs: 1 | posting_pos: 669
token: -jelentette | freq: 3 | docs: 3 | posting_pos: 670
token: -jelentettek | freq: 1 | docs: 1 | posting_pos: 673
token: -jenek | freq: 1 | docs: 1 | posting_pos: 674
token: -jet | freq: 1 | docs: 1 | posting_pos: 675
token: -joga | freq: 1 | docs: 1 | posting_pos: 676
token: -jonathan | freq: 1 | docs: 1 | posting_pos: 677
token: -jun | freq: 1 | docs: 1 | posting_pos: 678
token: -k | freq: 3 | docs: 2 | posting_pos: 679
token: -kadar | freq: 1 | docs: 1 | posting_pos: 681
token: -kal | freq: 5 | docs: 3 | posting_pos: 682
token: -kapacitassal | freq: 1 | docs: 1 | posting_pos: 685
token: -kedv | freq: 1 | docs: 1 | posting_pos: 686
token: -kent | freq: 3 | docs: 2 | posting_pos: 687
token: -keret | freq: 1 | docs: 1 | posting_pos: 689
token: -kiegetik | freq: 1 | docs: 1 | posting_pos: 690
token: -kikepzesi | freq: 1 | docs: 1 | posting_pos: 691
token: -kisebbs | freq: 1 | docs: 1 | posting_pos: 692
token: -kisebbsegi | freq: 1 | docs: 1 | posting_pos: 693
token: -ko | freq: 1 | docs: 1 | posting_pos: 694
token: -kolcsonos | freq: 1 | docs: 1 | posting_pos: 695
token: -korabban | freq: 1 | docs: 1 | posting_pos: 696
token: -kossuth | freq: 1 | docs: 1 | posting_pos: 697
token: -kozbevetoleg | freq: 1 | docs: 1 | posting_pos: 698
token: -kozeposztaly | freq: 1 | docs: 1 | posting_pos: 699
token: -kozpontjai | freq: 1 | docs: 1 | posting_pos: 700
token: -koztudomasu | freq: 1 | docs: 1 | posting_pos: 701
token: -kulfoldi | freq: 1 | docs: 1 | posting_pos: 702
token: -l | freq: 4 | docs: 2 | posting_pos: 703
token: -langsam | freq: 1 | docs: 1 | posting_pos: 705
token: -lazar | freq: 1 | docs: 1 | posting_pos: 706
token: -lenegyedelte- | freq: 1 | docs: 1 | posting_pos: 707
token: -lengyel | freq: 1 | docs: 1 | posting_pos: 708
token: -m | freq: 11 | docs: 2 | posting_pos: 709
token: -mary | freq: 1 | docs: 1 | posting_pos: 711
token: -meg | freq: 4 | docs: 3 | posting_pos: 712
token: -megf | freq: 1 | docs: 1 | posting_pos: 715
token: -meistens | freq: 1 | docs: 1 | posting_pos: 716
token: -meltatlanabb | freq: 1 | docs: 1 | posting_pos: 717
token: -mely | freq: 1 | docs: 1 | posting_pos: 718
token: -mert | freq: 1 | docs: 1 | posting_pos: 719
token: -mi | freq: 3 | docs: 2 | posting_pos: 720
token: -michael | freq: 1 | docs: 1 | posting_pos: 722
token: -miert | freq: 2 | docs: 2 | posting_pos: 723
token: -mihelyst | freq: 1 | docs: 1 | posting_pos: 725
token: -mind | freq: 1 | docs: 1 | posting_pos: 726
token: -mindenesetre | freq: 1 | docs: 1 | posting_pos: 727
token: -mindennemu | freq: 1 | docs: 1 | posting_pos: 728
token: -mint | freq: 1 | docs: 1 | posting_pos: 729
token: -mire | freq: 1 | docs: 1 | posting_pos: 730
token: -mmcfd- | freq: 1 | docs: 1 | posting_pos: 731
token: -mondja | freq: 2 | docs: 2 | posting_pos: 732
token: -mondta | freq: 2 | docs: 2 | posting_pos: 734
token: -most | freq: 2 | docs: 2 | posting_pos: 736
token: -munkasorseget | freq: 1 | docs: 1 | posting_pos: 738
token: -mutat | freq: 1 | docs: 1 | posting_pos: 739
token: -n | freq: 2 | docs: 1 | posting_pos: 740
token: -nagyon | freq: 2 | docs: 2 | posting_pos: 741
token: -nagyreszt | freq: 1 | docs: 1 | posting_pos: 743
token: -nak | freq: 15 | docs: 13 | posting_pos: 744
token: -nal | freq: 3 | docs: 2 | posting_pos: 757
token: -nek | freq: 8 | docs: 8 | posting_pos: 759
token: -nel | freq: 1 | docs: 1 | posting_pos: 767
token: -nem | freq: 8 | docs: 4 | posting_pos: 768
token: -nevel | freq: 1 | docs: 1 | posting_pos: 772
token: -nyilatkozta | freq: 3 | docs: 3 | posting_pos: 773
token: -oknak | freq: 1 | docs: 1 | posting_pos: 776
token: -olaszo | freq: 1 | docs: 1 | posting_pos: 777
token: -on | freq: 13 | docs: 9 | posting_pos: 778
token: -ondemokratikus | freq: 1 | docs: 1 | posting_pos: 787
token: -oriented | freq: 1 | docs: 1 | posting_pos: 788
token: -os | freq: 23 | docs: 12 | posting_pos: 789
token: -osrealkereset-csokkentest | freq: 1 | docs: 1 | posting_pos: 801
token: -osvolt | freq: 1 | docs: 1 | posting_pos: 802
token: -ot | freq: 12 | docs: 10 | posting_pos: 803
token: -ota | freq: 1 | docs: 1 | posting_pos: 813
token: -otbunozok | freq: 1 | docs: 1 | posting_pos: 814
token: -otfejlesztette | freq: 1 | docs: 1 | posting_pos: 815
token: -ozokkal | freq: 1 | docs: 1 | posting_pos: 816
token: -p | freq: 8 | docs: 1 | posting_pos: 817
token: -partnak | freq: 1 | docs: 1 | posting_pos: 818
token: -peldaul | freq: 2 | docs: 1 | posting_pos: 819
token: -people | freq: 1 | docs: 1 | posting_pos: 820
token: -pesti | freq: 1 | docs: 1 | posting_pos: 821
token: -pl | freq: 1 | docs: 1 | posting_pos: 822
token: -pointers | freq: 1 | docs: 1 | posting_pos: 823
token: -privatizacios | freq: 1 | docs: 1 | posting_pos: 824
token: -program | freq: 1 | docs: 1 | posting_pos: 825
token: -r | freq: 1 | docs: 1 | posting_pos: 826
token: -ra | freq: 7 | docs: 7 | posting_pos: 827
token: -re | freq: 4 | docs: 3 | posting_pos: 834
token: -riporternek | freq: 1 | docs: 1 | posting_pos: 837
token: -rogton | freq: 1 | docs: 1 | posting_pos: 838
token: -rol | freq: 4 | docs: 4 | posting_pos: 839
token: -rosztovi | freq: 1 | docs: 1 | posting_pos: 843
token: -russian | freq: 1 | docs: 1 | posting_pos: 844
token: -s | freq: 2 | docs: 2 | posting_pos: 845
token: -sajat | freq: 1 | docs: 1 | posting_pos: 847
token: -sajnos | freq: 2 | docs: 2 | posting_pos: 848
token: -sal | freq: 1 | docs: 1 | posting_pos: 850
token: -sas70- | freq: 1 | docs: 1 | posting_pos: 851
token: -segnek | freq: 1 | docs: 1 | posting_pos: 852
token: -sel | freq: 1 | docs: 1 | posting_pos: 853
token: -semmi | freq: 1 | docs: 1 | posting_pos: 854
token: -sharon | freq: 1 | docs: 1 | posting_pos: 855
token: -sikertelenul-ertekesiteni | freq: 1 | docs: 1 | posting_pos: 856
token: -siteni | freq: 1 | docs: 1 | posting_pos: 857
token: -skelter | freq: 1 | docs: 1 | posting_pos: 858
token: -soha | freq: 1 | docs: 1 | posting_pos: 859
token: -sok | freq: 1 | docs: 1 | posting_pos: 860
token: -sokkal | freq: 1 | docs: 1 | posting_pos: 861
token: -stb- | freq: 1 | docs: 1 | posting_pos: 862
token: -subsection | freq: 1 | docs: 1 | posting_pos: 863
token: -synonymous | freq: 1 | docs: 1 | posting_pos: 864
token: -szabad | freq: 1 | docs: 1 | posting_pos: 865
token: -szamtalan | freq: 1 | docs: 1 | posting_pos: 866
token: -szatmari | freq: 1 | docs: 1 | posting_pos: 867
token: -szavat | freq: 1 | docs: 1 | posting_pos: 868
token: -szerintem | freq: 2 | docs: 1 | posting_pos: 869
token: -szerk | freq: 1 | docs: 1 | posting_pos: 870
token: -szeru | freq: 1 | docs: 1 | posting_pos: 871
token: -szivu | freq: 1 | docs: 1 | posting_pos: 872
token: -szogezte | freq: 1 | docs: 1 | posting_pos: 873
token: -szoveget | freq: 1 | docs: 1 | posting_pos: 874
token: -t | freq: 13 | docs: 11 | posting_pos: 875
token: -talan | freq: 1 | docs: 1 | posting_pos: 886
token: -talking | freq: 1 | docs: 1 | posting_pos: 887
token: -tamogatasaval | freq: 1 | docs: 1 | posting_pos: 888
token: -tavaly | freq: 1 | docs: 1 | posting_pos: 889
token: -technikailag | freq: 1 | docs: 1 | posting_pos: 890
token: -tehat | freq: 2 | docs: 2 | posting_pos: 891
token: -telefonon | freq: 1 | docs: 1 | posting_pos: 893
token: -termeszetesen | freq: 1 | docs: 1 | posting_pos: 894
token: -the | freq: 3 | docs: 3 | posting_pos: 895
token: -tisztelt | freq: 1 | docs: 1 | posting_pos: 898
token: -tkialtani | freq: 1 | docs: 1 | posting_pos: 899
token: -tol | freq: 1 | docs: 1 | posting_pos: 900
token: -ugy | freq: 1 | docs: 1 | posting_pos: 901
token: -uj | freq: 1 | docs: 1 | posting_pos: 902
token: -us | freq: 1 | docs: 1 | posting_pos: 903
token: -ustina | freq: 1 | docs: 1 | posting_pos: 904
token: -vagyis | freq: 1 | docs: 1 | posting_pos: 905
token: -val | freq: 1 | docs: 1 | posting_pos: 906
token: -valoban | freq: 1 | docs: 1 | posting_pos: 907
token: -vegetarian | freq: 1 | docs: 1 | posting_pos: 908
token: -vel | freq: 3 | docs: 3 | posting_pos: 909
token: -vietnam | freq: 1 | docs: 1 | posting_pos: 912
token: -viii | freq: 1 | docs: 1 | posting_pos: 913
token: -visszaterve | freq: 1 | docs: 1 | posting_pos: 914
token: -vitat | freq: 1 | docs: 1 | posting_pos: 915
token: -volt | freq: 1 | docs: 1 | posting_pos: 916
token: -voltak | freq: 1 | docs: 1 | posting_pos: 917
token: -w | freq: 1 | docs: 1 | posting_pos: 918
token: -we | freq: 1 | docs: 1 | posting_pos: 919
token: -welfare | freq: 1 | docs: 1 | posting_pos: 920
token: -willa | freq: 1 | docs: 1 | posting_pos: 921
token: -with | freq: 1 | docs: 1 | posting_pos: 922
token: -y | freq: 2 | docs: 2 | posting_pos: 923
token: -z | freq: 1 | docs: 1 | posting_pos: 925
token: -zal | freq: 1 | docs: 1 | posting_pos: 926
token: -zsofia | freq: 2 | docs: 2 | posting_pos: 927
token: 0 | freq: 88865 | docs: 158 | posting_pos: 929
token: 00 | freq: 62766 | docs: 99 | posting_pos: 1087
token: 00-06 | freq: 1 | docs: 1 | posting_pos: 1186
token: 00-08 | freq: 1 | docs: 1 | posting_pos: 1187
token: 00-09 | freq: 1 | docs: 1 | posting_pos: 1188
token: 00-18 | freq: 1 | docs: 1 | posting_pos: 1189
token: 00-6 | freq: 1 | docs: 1 | posting_pos: 1190
token: 000 | freq: 237 | docs: 100 | posting_pos: 1191
token: 000-man | freq: 1 | docs: 1 | posting_pos: 1291
token: 000-nel | freq: 1 | docs: 1 | posting_pos: 1292
token: 000-unkbol | freq: 1 | docs: 1 | posting_pos: 1293
token: 0000 | freq: 3 | docs: 1 | posting_pos: 1294
token: 000000 | freq: 50 | docs: 50 | posting_pos: 1295
token: 000080 | freq: 49 | docs: 49 | posting_pos: 1345
token: 0000ff | freq: 50 | docs: 50 | posting_pos: 1394
token: 000m | freq: 2 | docs: 1 | posting_pos: 1444
token: 000nemetorszagdeutsche | freq: 1 | docs: 1 | posting_pos: 1445
token: 001 | freq: 1 | docs: 1 | posting_pos: 1446
token: 001-10936320megrendelheto | freq: 1 | docs: 1 | posting_pos: 1447
token: 00198 | freq: 1 | docs: 1 | posting_pos: 1448
token: 002 | freq: 1 | docs: 1 | posting_pos: 1449
token: 003 | freq: 1 | docs: 1 | posting_pos: 1450
token: 007 | freq: 1 | docs: 1 | posting_pos: 1451
